epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,226.829,0.83094,1.71785,1.14219,0.00333,1,0.995,0.796,0.84872,3.31685,0.91265,0.000496698,0.000496698,0.000496698
59,230.325,0.84101,1.78802,1.33765,0.00333,1,0.995,0.796,0.84872,3.31685,0.91265,0.000493928,0.000493928,0.000493928
60,233.758,0.5581,1.27185,0.99518,0.00333,1,0.995,0.796,0.81451,3.21662,0.92628,0.000490762,0.000490762,0.000490762
61,237.079,0.71332,1.69287,1.01442,0.00333,1,0.995,0.796,0.81451,3.21662,0.92628,0.0004872,0.0004872,0.0004872
62,240.272,0.53675,1.23602,0.81193,0.00333,1,0.995,0.796,0.81451,3.21662,0.92628,0.000483242,0.000483242,0.000483242
63,244.671,0.61625,1.12022,0.9779,0.00333,1,0.995,0.796,0.81338,3.2666,0.94557,0.000478888,0.000478888,0.000478888
64,248.092,0.55572,1.1316,0.95559,0.00333,1,0.995,0.796,0.81338,3.2666,0.94557,0.000474138,0.000474138,0.000474138
65,251.871,0.4891,1.36968,0.91753,0.00333,1,0.995,0.796,0.81338,3.2666,0.94557,0.000468992,0.000468992,0.000468992
66,255.462,0.54671,1.28481,0.9404,0.00333,1,0.995,0.796,0.75932,3.38684,0.97225,0.00046345,0.00046345,0.00046345
67,259.321,0.50939,1.26575,0.82966,0.00333,1,0.995,0.796,0.75932,3.38684,0.97225,0.000457512,0.000457512,0.000457512
68,262.69,0.4154,1.38989,0.78827,0.00333,1,0.995,0.796,0.75932,3.38684,0.97225,0.000451178,0.000451178,0.000451178
69,266.273,0.58008,1.0241,0.86024,0.00333,1,0.995,0.8955,0.70399,3.31981,0.97095,0.000444448,0.000444448,0.000444448
70,269.621,0.5177,2.04074,0.96196,0.00333,1,0.995,0.8955,0.70399,3.31981,0.97095,0.000437322,0.000437322,0.000437322
71,273.357,0.59142,1.29123,0.90219,0.00333,1,0.995,0.8955,0.70399,3.31981,0.97095,0.0004298,0.0004298,0.0004298
72,277.189,0.52368,1.19295,0.87875,0.00333,1,0.995,0.8955,0.71385,3.23834,1.00833,0.000421882,0.000421882,0.000421882
73,280.639,0.51507,1.01489,0.91681,0.00333,1,0.995,0.8955,0.71385,3.23834,1.00833,0.000413568,0.000413568,0.000413568
74,284.476,0.58332,1.02329,0.9469,0.00333,1,0.995,0.8955,0.71385,3.23834,1.00833,0.000404858,0.000404858,0.000404858
75,288.767,0.48823,1.36927,0.86677,0.01978,1,0.995,0.796,0.7487,3.17837,1.0678,0.000395752,0.000395752,0.000395752
76,293.224,1.07461,1.98064,1.43776,0.01978,1,0.995,0.796,0.7487,3.17837,1.0678,0.00038625,0.00038625,0.00038625
77,298.718,0.69465,1.522,1.04282,0.01978,1,0.995,0.796,0.7487,3.17837,1.0678,0.000376352,0.000376352,0.000376352
78,303.639,0.74898,1.20259,0.96855,0.3808,1,0.995,0.796,0.86326,3.27049,1.10546,0.000366058,0.000366058,0.000366058
79,308.517,0.87217,1.496,1.39631,0.3808,1,0.995,0.796,0.86326,3.27049,1.10546,0.000355368,0.000355368,0.000355368
80,312.541,0.64922,1.09059,0.99597,0.3808,1,0.995,0.796,0.86326,3.27049,1.10546,0.000344282,0.000344282,0.000344282
81,317.065,0.51377,1.0323,0.81182,0.54027,1,0.995,0.796,0.82863,3.22103,1.09746,0.0003328,0.0003328,0.0003328
82,320.927,0.47983,1.06996,0.84548,0.54027,1,0.995,0.796,0.82863,3.22103,1.09746,0.000320922,0.000320922,0.000320922
83,326.414,0.51828,1.38474,0.92591,0.54027,1,0.995,0.796,0.82863,3.22103,1.09746,0.000308648,0.000308648,0.000308648
84,330.85,0.54073,1.42534,0.96039,0.66544,1,0.995,0.796,0.79536,3.11476,1.09101,0.000295978,0.000295978,0.000295978
85,334.903,0.67461,1.37537,1.1016,0.66544,1,0.995,0.796,0.79536,3.11476,1.09101,0.000282912,0.000282912,0.000282912
86,339.189,0.84123,1.44989,1.09208,0.66544,1,0.995,0.796,0.79536,3.11476,1.09101,0.00026945,0.00026945,0.00026945
87,342.901,0.3781,1.18529,0.83626,0.66544,1,0.995,0.796,0.79536,3.11476,1.09101,0.000255592,0.000255592,0.000255592
88,347.061,0.53922,1.29321,1.00949,0.78527,1,0.995,0.796,0.76054,2.98228,1.08579,0.000241338,0.000241338,0.000241338
89,351.551,0.52184,1.19777,0.86594,0.78527,1,0.995,0.796,0.76054,2.98228,1.08579,0.000226688,0.000226688,0.000226688
90,356.053,0.46512,1.1695,0.83603,0.78527,1,0.995,0.796,0.76054,2.98228,1.08579,0.000211642,0.000211642,0.000211642
91,360.207,0.42197,1.34921,0.84895,0.78527,1,0.995,0.796,0.76054,2.98228,1.08579,0.0001962,0.0001962,0.0001962
92,364.275,0.3288,1.20868,0.77099,0.86993,1,0.995,0.796,0.74773,2.81592,1.08332,0.000180362,0.000180362,0.000180362
93,367.607,0.29993,1.25271,0.74275,0.86993,1,0.995,0.796,0.74773,2.81592,1.08332,0.000164128,0.000164128,0.000164128
94,371.216,0.49545,1.31968,0.9474,0.86993,1,0.995,0.796,0.74773,2.81592,1.08332,0.000147498,0.000147498,0.000147498
95,374.829,0.3317,1.27259,0.78273,0.86993,1,0.995,0.796,0.74773,2.81592,1.08332,0.000130472,0.000130472,0.000130472
96,378.727,0.39143,1.32937,0.90771,0.9132,1,0.995,0.796,0.72734,2.65015,1.06803,0.00011305,0.00011305,0.00011305
97,382.248,0.3628,1.2789,0.7861,0.9132,1,0.995,0.796,0.72734,2.65015,1.06803,9.5232e-05,9.5232e-05,9.5232e-05
98,385.839,0.32518,1.28085,0.84563,0.9132,1,0.995,0.796,0.72734,2.65015,1.06803,7.7018e-05,7.7018e-05,7.7018e-05
99,389.54,0.42797,1.28597,0.86572,0.9132,1,0.995,0.796,0.72734,2.65015,1.06803,5.8408e-05,5.8408e-05,5.8408e-05
100,393.158,0.37795,1.26314,0.80852,0.93432,1,0.995,0.796,0.71275,2.51087,1.05147,3.9402e-05,3.9402e-05,3.9402e-05
